,id,categories,name,price,type,accessories
270,93605472,9;10034;10000039;10000040,"SHIRT-PER ,L/S WOVEN SGR",82.132200,simple,
271,93605473,9;10034;10000039;10000040,SHIRT-L/S WOVEN BLK,88.003200,simple,
272,93605474,9;10034;10000039;10000040,SHIRT- L/S  DENIM GRY,88.003200,simple,
273,93605507,9;10036;10056;10100,"CAMISETA-S/L WOVEN,BACK GRAPHIC",64.540992,simple,
274,93605537,9;10036;10040;10000039,JKT-BREWSTER NYLON BLK,129.073472,simple,
275,93605968,9,"JKT DEFENDER,SWITCHBACK BLK",386.641400,simple,
276,93605975,9;10036;10040,JKT SKULL 3IN1 OTWR,205.340800,simple,
277,93606025,9;10036;10039;10040,CHAQUETA CUERO MUJER RALLYRUNNER  3-in-1.,0.000000,simple,
278,93606045,9;10036;10039,JKT VICTORY LANE BLK,386.641400,simple,
279,93606082,9;10027;10030;10056;10000039;10000129,CHAQUETA CUERO  HARD MILE CLRBLK,0.000000,simple,
280,93606083,9;10027;10030;10034;10056;10000039,JKT-FUNCT  RACE MESH BLK,0.000001,simple,
281,93606084,9;10027;10029;10034;10056;10000129,JKT-FUNCT  MESH  SKULL BLK,0.000000,simple,
282,93606087,9;10029,CHAQUETA DE MONTAR TEXTIL DESTINO IMPERMEABLE 3/4 BY HARLEY DAVIDSON,0.000000,simple,
283,93606088,9;10029;10030,Tradition Leather Jacket,325.881700,simple,
284,93606090,9;10034;10099;10000129,SUDADERA CIRCLE H-D® SLIM FIT,0.000000,simple,
285,93606093,9;10027;10036;10040;10056;10000129;10000381,JKT-OUT CASUAL BIKER TAN,0.000000,simple,
286,93606094,9;10036;10100;10000129,SWEATER-BOUCIE BIRCH,102.530000,simple,
287,93606096,9;10027;10036;10040;10056;10000039,JKT-FNCT CASCADE MESH WHITE,0.000000,simple,
288,93606097,9;10027;10036;10100;10000129,TANK-RESTLESS SPIRIT CROCHET,56.960000,simple,
289,93606098,9;10027;10036;10056;10100,TOP-L/S CROCHET SKULL SLASH,91.140000,simple,
290,93606244,9;10029;10034,"JKT-FNCT,FAT BOY, CLR BLCK",209.140000,simple,
291,93606246,9;10030;10000039;10000129,CHAQUETA CUERO HOMBRE ROADSHOW SWITCHBACK  NEGRA,0.000000,simple,
292,93606277,9;10029;10030;10034;10000129,CHAQUETA DE CUERO MEDALLION REFLECTIVE,0.000000,simple,
